rtsid key "rtsid" path "/" domain ".apple.com", store string
BridgeportVillage, %7BUS%3D%7Bt%3Da%3Bi%3DR134%3B%7D%3B%7D
WashingtonSquare, %7BUS%3D%7Bt%3Da%3Bi%3DR090%3B%7D%3B%7D
SuburbanSquare, %7BUS%3D%7Bt%3Da%3Bi%3DR166%3B%7D%3B%7D
KingofPrussia, %7BUS%3D%7Bt%3Da%3Bi%3DR065%3B%7D%3B%7D
ParkCity, %7BUS%3D%7Bt%3Da%3Bi%3DR304%3B%7D%3B%7D
WalnutStreet, %7BUS%3D%7Bt%3Da%3Bi%3DR162%3B%7D%3B%7D
RossPark, %7BUS%3D%7Bt%3Da%3Bi%3DR413%3B%7D%3B%7D
Shadyside, %7BUS%3D%7Bt%3Da%3Bi%3DR096%3B%7D%3B%7D
SouthHillsVillage, %7BUS%3D%7Bt%3Da%3Bi%3DR147%3B%7D%3B%7D
LehighValley, %7BUS%3D%7Bt%3Da%3Bi%3DR281%3B%7D%3B%7D
WillowGrovePark, %7BUS%3D%7Bt%3Da%3Bi%3DR234%3B%7D%3B%7D
ProvidencePlace, %7BUS%3D%7Bt%3Da%3Bi%3DR167%3B%7D%3B%7D
KingStreet, %7BUS%3D%7Bt%3Da%3Bi%3DR318%3B%7D%3B%7D
HaywoodMall, %7BUS%3D%7Bt%3Da%3Bi%3DR355%3B%7D%3B%7D
CoolSpringsGalleria, %7BUS%3D%7Bt%3Da%3Bi%3DR513%3B%7D%3B%7D
SaddleCreek, %7BUS%3D%7Bt%3Da%3Bi%3DR020%3B%7D%3B%7D
WestTownMall, %7BUS%3D%7Bt%3Da%3Bi%3DR203%3B%7D%3B%7D
GreenHills, %7BUS%3D%7Bt%3Da%3Bi%3DR123%3B%7D%3B%7D
BartonCreek, %7BUS%3D%7Bt%3Da%3Bi%3DR085%3B%7D%3B%7D
DomainNORTHSIDE, %7BUS%3D%7Bt%3Da%3Bi%3DR216%3B%7D%3B%7D
GalleriaDallas, %7BUS%3D%7Bt%3Da%3Bi%3DR746%3B%7D%3B%7D
